yourlist:M20211026F248CABF64506F29A91F8037F07B67D12525920	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
6559	P55017	S12A3_HUMAN	reviewed	Solute carrier family 12 member 3 (Na-Cl cotransporter) (NCC) (Na-Cl symporter) (Thiazide-sensitive sodium-chloride cotransporter)	SLC12A3 NCC TSC	Homo sapiens (Human)	1021
6567	P36021	MOT8_HUMAN	reviewed	Monocarboxylate transporter 8 (MCT 8) (Monocarboxylate transporter 7) (MCT 7) (Solute carrier family 16 member 2) (X-linked PEST-containing transporter)	SLC16A2 MCT8 XPCT	Homo sapiens (Human)	539
6569	Q06495	NPT2A_HUMAN	reviewed	Sodium-dependent phosphate transport protein 2A (Sodium-phosphate transport protein 2A) (Na(+)-dependent phosphate cotransporter 2A) (NaPi-3) (Sodium/phosphate cotransporter 2A) (Na(+)/Pi cotransporter 2A) (NaPi-2a) (Solute carrier family 34 member 1)	SLC34A1 NPT2 SLC17A2	Homo sapiens (Human)	639
657	P36894	BMR1A_HUMAN	reviewed	Bone morphogenetic protein receptor type-1A (BMP type-1A receptor) (BMPR-1A) (EC 2.7.11.30) (Activin receptor-like kinase 3) (ALK-3) (Serine/threonine-protein kinase receptor R5) (SKR5) (CD antigen CD292)	BMPR1A ACVRLK3 ALK3	Homo sapiens (Human)	532
6576	P53007	TXTP_HUMAN	reviewed	Tricarboxylate transport protein, mitochondrial (Citrate transport protein) (CTP) (Solute carrier family 25 member 1) (Tricarboxylate carrier protein)	SLC25A1 SLC20A3	Homo sapiens (Human)	311
659	Q13873	BMPR2_HUMAN	reviewed	Bone morphogenetic protein receptor type-2 (BMP type-2 receptor) (BMPR-2) (EC 2.7.11.30) (Bone morphogenetic protein receptor type II) (BMP type II receptor) (BMPR-II)	BMPR2 PPH1	Homo sapiens (Human)	1038
6595	P51531	SMCA2_HUMAN	reviewed	Probable global transcription activator SNF2L2 (EC 3.6.4.-) (ATP-dependent helicase SMARCA2) (BRG1-associated factor 190B) (BAF190B) (Protein brahma homolog) (hBRM) (SNF2-alpha) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 2)	SMARCA2 BAF190B BRM SNF2A SNF2L2	Homo sapiens (Human)	1590
6597	P51532	SMCA4_HUMAN	reviewed	Transcription activator BRG1 (EC 3.6.4.-) (ATP-dependent helicase SMARCA4) (BRG1-associated factor 190A) (BAF190A) (Mitotic growth and transcription activator) (Protein BRG-1) (Protein brahma homolog 1) (SNF2-beta) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4)	SMARCA4 BAF190A BRG1 SNF2B SNF2L4	Homo sapiens (Human)	1647
6598	Q12824	SNF5_HUMAN	reviewed	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 (BRG1-associated factor 47) (BAF47) (Integrase interactor 1 protein) (SNF5 homolog) (hSNF5)	SMARCB1 BAF47 INI1 SNF5L1	Homo sapiens (Human)	385
6602	Q96GM5	SMRD1_HUMAN	reviewed	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1 (60 kDa BRG-1/Brm-associated factor subunit A) (BRG1-associated factor 60A) (BAF60A) (SWI/SNF complex 60 kDa subunit)	SMARCD1 BAF60A	Homo sapiens (Human)	515
6605	Q969G3	SMCE1_HUMAN	reviewed	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 (BRG1-associated factor 57) (BAF57)	SMARCE1 BAF57	Homo sapiens (Human)	411
6608	Q99835	SMO_HUMAN	reviewed	Smoothened homolog (SMO) (Protein Gx)	SMO SMOH	Homo sapiens (Human)	787
6611	P52788	SPSY_HUMAN	reviewed	Spermine synthase (SPMSY) (EC 2.5.1.22) (Spermidine aminopropyltransferase)	SMS	Homo sapiens (Human)	366
6651	P18583	SON_HUMAN	reviewed	Protein SON (Bax antagonist selected in saccharomyces 1) (BASS1) (Negative regulatory element-binding protein) (NRE-binding protein) (Protein DBP-5) (SON3)	SON C21orf50 DBP5 KIAA1019 NREBP HSPC310 HSPC312	Homo sapiens (Human)	2426
6654	Q07889	SOS1_HUMAN	reviewed	Son of sevenless homolog 1 (SOS-1)	SOS1	Homo sapiens (Human)	1333
6657	P48431	SOX2_HUMAN	reviewed	Transcription factor SOX-2	SOX2	Homo sapiens (Human)	317
6660	P35711	SOX5_HUMAN	reviewed	Transcription factor SOX-5	SOX5	Homo sapiens (Human)	763
6663	P56693	SOX10_HUMAN	reviewed	Transcription factor SOX-10	SOX10	Homo sapiens (Human)	466
6664	P35716	SOX11_HUMAN	reviewed	Transcription factor SOX-11	SOX11	Homo sapiens (Human)	441
668	P58012	FOXL2_HUMAN	reviewed	Forkhead box protein L2	FOXL2	Homo sapiens (Human)	376
6683	Q9UBP0	SPAST_HUMAN	reviewed	Spastin (EC 5.6.1.1) (Spastic paraplegia 4 protein)	SPAST ADPSP FSP2 KIAA1083 SPG4	Homo sapiens (Human)	616
6687	Q9UQ90	SPG7_HUMAN	reviewed	Paraplegin (EC 3.4.24.-) (Cell matrix adhesion regulator) (Spastic paraplegia 7 protein)	SPG7 CAR CMAR PGN	Homo sapiens (Human)	795
6694	Q13103	SPP24_HUMAN	reviewed	Secreted phosphoprotein 24 (Spp-24) (Secreted phosphoprotein 2)	SPP2 SPP24	Homo sapiens (Human)	211
670	Q86W56	PARG_HUMAN	reviewed	Poly(ADP-ribose) glycohydrolase (EC 3.2.1.143)	PARG	Homo sapiens (Human)	976
670	Q86WA6	BPHL_HUMAN	reviewed	Valacyclovir hydrolase (VACVase) (Valacyclovirase) (EC 3.1.-.-) (Biphenyl hydrolase-like protein) (Biphenyl hydrolase-related protein) (Bph-rp) (Breast epithelial mucin-associated antigen) (MCNAA)	BPHL MCNAA	Homo sapiens (Human)	291
6714	P12931	SRC_HUMAN	reviewed	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	Homo sapiens (Human)	536
6716	P31213	S5A2_HUMAN	reviewed	3-oxo-5-alpha-steroid 4-dehydrogenase 2 (EC 1.3.1.22) (5 alpha-SR2) (SR type 2) (Steroid 5-alpha-reductase 2) (S5AR 2) (Type II 5-alpha reductase)	SRD5A2	Homo sapiens (Human)	254
672	P38398	BRCA1_HUMAN	reviewed	Breast cancer type 1 susceptibility protein (EC 2.3.2.27) (RING finger protein 53) (RING-type E3 ubiquitin transferase BRCA1)	BRCA1 RNF53	Homo sapiens (Human)	1863
673	P15056	BRAF_HUMAN	reviewed	Serine/threonine-protein kinase B-raf (EC 2.7.11.1) (Proto-oncogene B-Raf) (p94) (v-Raf murine sarcoma viral oncogene homolog B1)	BRAF BRAF1 RAFB1	Homo sapiens (Human)	766
6736	Q05066	SRY_HUMAN	reviewed	Sex-determining region Y protein (Testis-determining factor)	SRY TDF	Homo sapiens (Human)	204
675	P51587	BRCA2_HUMAN	reviewed	Breast cancer type 2 susceptibility protein (Fanconi anemia group D1 protein)	BRCA2 FACD FANCD1	Homo sapiens (Human)	3418
6756	Q16384	SSX1_HUMAN	reviewed	Protein SSX1 (Cancer/testis antigen 5.1) (CT5.1) (Synovial sarcoma, X breakpoint 1)	SSX1	Homo sapiens (Human)	188
6757	Q16385	SSX2_HUMAN	reviewed	Protein SSX2 (Cancer/testis antigen 5.2) (CT5.2) (Synovial sarcoma, X breakpoint 2) (Tumor antigen HOM-MEL-40)	SSX2 SSX2A; SSX2B	Homo sapiens (Human)	188
6759	O60224	SSX4_HUMAN	reviewed	Protein SSX4 (Cancer/testis antigen 5.4) (CT5.4)	SSX4 SSX4A; SSX4B	Homo sapiens (Human)	188
6760	Q15532	SSXT_HUMAN	reviewed	Protein SSXT (Protein SYT) (Synovial sarcoma translocated to X chromosome protein)	SS18 SSXT SYT	Homo sapiens (Human)	418
6768	Q9Y5Y6	ST14_HUMAN	reviewed	Suppressor of tumorigenicity 14 protein (EC 3.4.21.109) (Matriptase) (Membrane-type serine protease 1) (MT-SP1) (Prostamin) (Serine protease 14) (Serine protease TADG-15) (Tumor-associated differentially-expressed gene 15 protein)	ST14 PRSS14 SNC19 TADG15	Homo sapiens (Human)	855
6772	P42224	STAT1_HUMAN	reviewed	Signal transducer and activator of transcription 1-alpha/beta (Transcription factor ISGF-3 components p91/p84)	STAT1	Homo sapiens (Human)	750
6774	P40763	STAT3_HUMAN	reviewed	Signal transducer and activator of transcription 3 (Acute-phase response factor)	STAT3 APRF	Homo sapiens (Human)	770
6777	P51692	STA5B_HUMAN	reviewed	Signal transducer and activator of transcription 5B	STAT5B	Homo sapiens (Human)	787
6778	P42226	STAT6_HUMAN	reviewed	Signal transducer and activator of transcription 6 (IL-4 Stat)	STAT6	Homo sapiens (Human)	847
6792	O76039	CDKL5_HUMAN	reviewed	Cyclin-dependent kinase-like 5 (EC 2.7.11.22) (Serine/threonine-protein kinase 9)	CDKL5 STK9	Homo sapiens (Human)	960
6794	Q15831	STK11_HUMAN	reviewed	Serine/threonine-protein kinase STK11 (EC 2.7.11.1) (Liver kinase B1) (LKB1) (hLKB1) (Renal carcinoma antigen NY-REN-19)	STK11 LKB1 PJS	Homo sapiens (Human)	433
6801	O43815	STRN_HUMAN	reviewed	Striatin	STRN	Homo sapiens (Human)	780
6812	P61764	STXB1_HUMAN	reviewed	Syntaxin-binding protein 1 (MUNC18-1) (N-Sec1) (Protein unc-18 homolog 1) (Unc18-1) (Protein unc-18 homolog A) (Unc-18A) (p67)	STXBP1 UNC18A	Homo sapiens (Human)	594
6833	Q09428	ABCC8_HUMAN	reviewed	ATP-binding cassette sub-family C member 8 (Sulfonylurea receptor 1)	ABCC8 HRINS SUR SUR1	Homo sapiens (Human)	1581
6834	Q15526	SURF1_HUMAN	reviewed	Surfeit locus protein 1	SURF1 SURF-1	Homo sapiens (Human)	300
6845	P51809	VAMP7_HUMAN	reviewed	Vesicle-associated membrane protein 7 (VAMP-7) (Synaptobrevin-like protein 1) (Tetanus-insensitive VAMP) (Ti-VAMP)	VAMP7 SYBL1	Homo sapiens (Human)	220
6850	P43405	KSYK_HUMAN	reviewed	Tyrosine-protein kinase SYK (EC 2.7.10.2) (Spleen tyrosine kinase) (p72-Syk)	SYK	Homo sapiens (Human)	635
6853	P17600	SYN1_HUMAN	reviewed	Synapsin-1 (Brain protein 4.1) (Synapsin I)	SYN1	Homo sapiens (Human)	705
6855	P08247	SYPH_HUMAN	reviewed	Synaptophysin (Major synaptic vesicle protein p38)	SYP	Homo sapiens (Human)	313
686	P43251	BTD_HUMAN	reviewed	Biotinidase (Biotinase) (EC 3.5.1.12)	BTD	Homo sapiens (Human)	543
6873	Q6P1X5	TAF2_HUMAN	reviewed	Transcription initiation factor TFIID subunit 2 (150 kDa cofactor of initiator function) (RNA polymerase II TBP-associated factor subunit B) (TBP-associated factor 150 kDa) (Transcription initiation factor TFIID 150 kDa subunit) (TAF(II)150) (TAFII-150) (TAFII150)	TAF2 CIF150 TAF2B	Homo sapiens (Human)	1199
6884	Q15543	TAF13_HUMAN	reviewed	Transcription initiation factor TFIID subunit 13 (Transcription initiation factor TFIID 18 kDa subunit) (TAF(II)18) (TAFII-18) (TAFII18)	TAF13 TAF2K TAFII18	Homo sapiens (Human)	124
6886	P17542	TAL1_HUMAN	reviewed	T-cell acute lymphocytic leukemia protein 1 (TAL-1) (Class A basic helix-loop-helix protein 17) (bHLHa17) (Stem cell protein) (T-cell leukemia/lymphoma protein 5)	TAL1 BHLHA17 SCL TCL5	Homo sapiens (Human)	331
6887	Q16559	TAL2_HUMAN	reviewed	T-cell acute lymphocytic leukemia protein 2 (TAL-2) (Class A basic helix-loop-helix protein 19) (bHLHa19)	TAL2 BHLHA19	Homo sapiens (Human)	108
6899	O43435	TBX1_HUMAN	reviewed	T-box transcription factor TBX1 (T-box protein 1) (Testis-specific T-box protein)	TBX1	Homo sapiens (Human)	398
6900	Q02246	CNTN2_HUMAN	reviewed	Contactin-2 (Axonal glycoprotein TAG-1) (Axonin-1) (Transient axonal glycoprotein 1) (TAX-1)	CNTN2 AXT TAG1 TAX1	Homo sapiens (Human)	1040
6905	Q15813	TBCE_HUMAN	reviewed	Tubulin-specific chaperone E (Tubulin-folding cofactor E)	TBCE	Homo sapiens (Human)	527
6909	Q13207	TBX2_HUMAN	reviewed	T-box transcription factor TBX2 (T-box protein 2)	TBX2	Homo sapiens (Human)	712
6910	Q99593	TBX5_HUMAN	reviewed	T-box transcription factor TBX5 (T-box protein 5)	TBX5	Homo sapiens (Human)	518
6917	P23193	TCEA1_HUMAN	reviewed	Transcription elongation factor A protein 1 (Transcription elongation factor S-II protein 1) (Transcription elongation factor TFIIS.o)	TCEA1 GTF2S TFIIS	Homo sapiens (Human)	301
6925	P15884	ITF2_HUMAN	reviewed	Transcription factor 4 (TCF-4) (Class B basic helix-loop-helix protein 19) (bHLHb19) (Immunoglobulin transcription factor 2) (ITF-2) (SL3-3 enhancer factor 2) (SEF-2)	TCF4 BHLHB19 ITF2 SEF2	Homo sapiens (Human)	667
6926	O15119	TBX3_HUMAN	reviewed	T-box transcription factor TBX3 (T-box protein 3)	TBX3	Homo sapiens (Human)	743
6927	P20823	HNF1A_HUMAN	reviewed	Hepatocyte nuclear factor 1-alpha (HNF-1-alpha) (HNF-1A) (Liver-specific transcription factor LF-B1) (LFB1) (Transcription factor 1) (TCF-1)	HNF1A TCF1	Homo sapiens (Human)	631
6928	P35680	HNF1B_HUMAN	reviewed	Hepatocyte nuclear factor 1-beta (HNF-1-beta) (HNF-1B) (Homeoprotein LFB3) (Transcription factor 2) (TCF-2) (Variant hepatic nuclear factor 1) (vHNF1)	HNF1B TCF2	Homo sapiens (Human)	557
6929	P15923	TFE2_HUMAN	reviewed	Transcription factor E2-alpha (Class B basic helix-loop-helix protein 21) (bHLHb21) (Immunoglobulin enhancer-binding factor E12/E47) (Immunoglobulin transcription factor 1) (Kappa-E2-binding factor) (Transcription factor 3) (TCF-3) (Transcription factor ITF-1)	TCF3 BHLHB21 E2A ITF1	Homo sapiens (Human)	654
6934	Q9NQB0	TF7L2_HUMAN	reviewed	Transcription factor 7-like 2 (HMG box transcription factor 4) (T-cell-specific transcription factor 4) (T-cell factor 4) (TCF-4) (hTCF-4)	TCF7L2 TCF4	Homo sapiens (Human)	619
6938	Q99081	HTF4_HUMAN	reviewed	Transcription factor 12 (TCF-12) (Class B basic helix-loop-helix protein 20) (bHLHb20) (DNA-binding protein HTF4) (E-box-binding protein) (Transcription factor HTF-4)	TCF12 BHLHB20 HEB HTF4	Homo sapiens (Human)	682
694	P62324	BTG1_HUMAN	reviewed	Protein BTG1 (B-cell translocation gene 1 protein)	BTG1	Homo sapiens (Human)	171
6942	Q9UGU0	TCF20_HUMAN	reviewed	Transcription factor 20 (TCF-20) (Nuclear factor SPBP) (Protein AR1) (Stromelysin-1 PDGF-responsive element-binding protein) (SPRE-binding protein)	TCF20 KIAA0292 SPBP	Homo sapiens (Human)	1960
6948	P20062	TCO2_HUMAN	reviewed	Transcobalamin-2 (TC-2) (Transcobalamin II) (TC II) (TCII)	TCN2 TC2	Homo sapiens (Human)	427
6949	Q13428	TCOF_HUMAN	reviewed	Treacle protein (Treacher Collins syndrome protein)	TCOF1	Homo sapiens (Human)	1488
695	Q06187	BTK_HUMAN	reviewed	Tyrosine-protein kinase BTK (EC 2.7.10.2) (Agammaglobulinemia tyrosine kinase) (ATK) (B-cell progenitor kinase) (BPK) (Bruton tyrosine kinase)	BTK AGMX1 ATK BPK	Homo sapiens (Human)	659
6997	P13385	TDGF1_HUMAN	reviewed	Teratocarcinoma-derived growth factor 1 (Cripto-1 growth factor) (CRGF) (Epidermal growth factor-like cripto protein CR1)	TDGF1 CRIPTO	Homo sapiens (Human)	188
70	P68032	ACTC_HUMAN	reviewed	Actin, alpha cardiac muscle 1 (Alpha-cardiac actin) [Cleaved into: Actin, alpha cardiac muscle 1, intermediate form]	ACTC1 ACTC	Homo sapiens (Human)	377
7007	O75443	TECTA_HUMAN	reviewed	Alpha-tectorin	TECTA	Homo sapiens (Human)	2155
701	O60566	BUB1B_HUMAN	reviewed	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta (EC 2.7.11.1) (MAD3/BUB1-related protein kinase) (hBUBR1) (Mitotic checkpoint kinase MAD3L) (Protein SSK1)	BUB1B BUBR1 MAD3L SSK1	Homo sapiens (Human)	1050
7015	O14746	TERT_HUMAN	reviewed	Telomerase reverse transcriptase (EC 2.7.7.49) (HEST2) (Telomerase catalytic subunit) (Telomerase-associated protein 2) (TP2)	TERT EST2 TCS1 TRT	Homo sapiens (Human)	1132
7021	Q92481	AP2B_HUMAN	reviewed	Transcription factor AP-2-beta (AP2-beta) (Activating enhancer-binding protein 2-beta)	TFAP2B	Homo sapiens (Human)	460
7026	P24468	COT2_HUMAN	reviewed	COUP transcription factor 2 (COUP-TF2) (Apolipoprotein A-I regulatory protein 1) (ARP-1) (COUP transcription factor II) (COUP-TF II) (Nuclear receptor subfamily 2 group F member 2)	NR2F2 ARP1 TFCOUP2	Homo sapiens (Human)	414
7030	P19532	TFE3_HUMAN	reviewed	Transcription factor E3 (Class E basic helix-loop-helix protein 33) (bHLHe33)	TFE3 BHLHE33	Homo sapiens (Human)	575
7036	Q9UP52	TFR2_HUMAN	reviewed	Transferrin receptor protein 2 (TfR2)	TFR2	Homo sapiens (Human)	801
7046	P36897	TGFR1_HUMAN	reviewed	TGF-beta receptor type-1 (TGFR-1) (EC 2.7.11.30) (Activin A receptor type II-like protein kinase of 53kD) (Activin receptor-like kinase 5) (ALK-5) (ALK5) (Serine/threonine-protein kinase receptor R4) (SKR4) (TGF-beta type I receptor) (Transforming growth factor-beta receptor type I) (TGF-beta receptor type I) (TbetaR-I)	TGFBR1 ALK5 SKR4	Homo sapiens (Human)	503
7048	P37173	TGFR2_HUMAN	reviewed	TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II) (TGF-beta receptor type II) (TbetaR-II)	TGFBR2	Homo sapiens (Human)	567
7050	Q15583	TGIF1_HUMAN	reviewed	Homeobox protein TGIF1 (5'-TG-3'-interacting factor 1)	TGIF1 TGIF	Homo sapiens (Human)	401
7051	P22735	TGM1_HUMAN	reviewed	Protein-glutamine gamma-glutamyltransferase K (EC 2.3.2.13) (Epidermal TGase) (Transglutaminase K) (TG(K)) (TGK) (TGase K) (Transglutaminase-1) (TGase-1)	TGM1 KTG	Homo sapiens (Human)	817
7067	P10827	THA_HUMAN	reviewed	Thyroid hormone receptor alpha (Nuclear receptor subfamily 1 group A member 1) (V-erbA-related protein 7) (EAR-7) (c-erbA-1) (c-erbA-alpha)	THRA EAR7 ERBA1 NR1A1 THRA1 THRA2	Homo sapiens (Human)	490
7080	P43699	NKX21_HUMAN	reviewed	Homeobox protein Nkx-2.1 (Homeobox protein NK-2 homolog A) (Thyroid nuclear factor 1) (Thyroid transcription factor 1) (TTF-1) (Thyroid-specific enhancer-binding protein) (T/EBP)	NKX2-1 NKX2A TITF1 TTF1	Homo sapiens (Human)	371
7102	P41732	TSN7_HUMAN	reviewed	Tetraspanin-7 (Tspan-7) (Cell surface glycoprotein A15) (Membrane component chromosome X surface marker 1) (T-cell acute lymphoblastic leukemia-associated antigen 1) (TALLA-1) (Transmembrane 4 superfamily member 2) (CD antigen CD231)	TSPAN7 A15 DXS1692E MXS1 TM4SF2	Homo sapiens (Human)	249
7109	P48553	TPC10_HUMAN	reviewed	Trafficking protein particle complex subunit 10 (Epilepsy holoprosencephaly candidate 1 protein) (EHOC-1) (Protein GT334) (Trafficking protein particle complex subunit TMEM1) (Transport protein particle subunit TMEM1) (TRAPP subunit TMEM1)	TRAPPC10 EHOC1 TMEM1	Homo sapiens (Human)	1259
7113	O15393	TMPS2_HUMAN	reviewed	Transmembrane protease serine 2 (EC 3.4.21.-) (Serine protease 10) [Cleaved into: Transmembrane protease serine 2 non-catalytic chain; Transmembrane protease serine 2 catalytic chain]	TMPRSS2 PRSS10	Homo sapiens (Human)	492
7128	P21580	TNAP3_HUMAN	reviewed	Tumor necrosis factor alpha-induced protein 3 (TNF alpha-induced protein 3) (EC 2.3.2.-) (EC 3.4.19.12) (OTU domain-containing protein 7C) (Putative DNA-binding protein A20) (Zinc finger protein A20) [Cleaved into: A20p50; A20p37]	TNFAIP3 OTUD7C	Homo sapiens (Human)	790
713	P02746	C1QB_HUMAN	reviewed	Complement C1q subcomponent subunit B	C1QB	Homo sapiens (Human)	253
7137	P19429	TNNI3_HUMAN	reviewed	Troponin I, cardiac muscle (Cardiac troponin I)	TNNI3 TNNC1	Homo sapiens (Human)	210
7138	P13805	TNNT1_HUMAN	reviewed	Troponin T, slow skeletal muscle (TnTs) (Slow skeletal muscle troponin T) (sTnT)	TNNT1 TNT	Homo sapiens (Human)	278
7139	P45379	TNNT2_HUMAN	reviewed	Troponin T, cardiac muscle (TnTc) (Cardiac muscle troponin T) (cTnT)	TNNT2	Homo sapiens (Human)	298
7150	P11387	TOP1_HUMAN	reviewed	DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I)	TOP1	Homo sapiens (Human)	765
7157	P04637	P53_HUMAN	reviewed	Cellular tumor antigen p53 (Antigen NY-CO-13) (Phosphoprotein p53) (Tumor suppressor p53)	TP53 P53	Homo sapiens (Human)	393
7161	O15350	P73_HUMAN	reviewed	Tumor protein p73 (p53-like transcription factor) (p53-related protein)	TP73 P73	Homo sapiens (Human)	636
7168	P09493	TPM1_HUMAN	reviewed	Tropomyosin alpha-1 chain (Alpha-tropomyosin) (Tropomyosin-1)	TPM1 C15orf13 TMSA	Homo sapiens (Human)	284
7170	P06753	TPM3_HUMAN	reviewed	Tropomyosin alpha-3 chain (Gamma-tropomyosin) (Tropomyosin-3) (Tropomyosin-5) (hTM5)	TPM3	Homo sapiens (Human)	285
7171	P67936	TPM4_HUMAN	reviewed	Tropomyosin alpha-4 chain (TM30p1) (Tropomyosin-4)	TPM4	Homo sapiens (Human)	248
7173	P07202	PERT_HUMAN	reviewed	Thyroid peroxidase (TPO) (EC 1.11.1.8)	TPO	Homo sapiens (Human)	933
7175	P12270	TPR_HUMAN	reviewed	Nucleoprotein TPR (Megator) (NPC-associated intranuclear protein) (Translocated promoter region protein)	TPR	Homo sapiens (Human)	2363
7201	P34981	TRFR_HUMAN	reviewed	Thyrotropin-releasing hormone receptor (TRH-R) (Thyroliberin receptor)	TRHR	Homo sapiens (Human)	398
7204	O75962	TRIO_HUMAN	reviewed	Triple functional domain protein (EC 2.7.11.1) (PTPRF-interacting protein)	TRIO	Homo sapiens (Human)	3097
7227	Q9UHF7	TRPS1_HUMAN	reviewed	Zinc finger transcription factor Trps1 (Tricho-rhino-phalangeal syndrome type I protein) (Zinc finger protein GC79)	TRPS1	Homo sapiens (Human)	1281
7248	Q92574	TSC1_HUMAN	reviewed	Hamartin (Tuberous sclerosis 1 protein)	TSC1 KIAA0243 TSC	Homo sapiens (Human)	1164
7249	P49815	TSC2_HUMAN	reviewed	Tuberin (Tuberous sclerosis 2 protein)	TSC2 TSC4	Homo sapiens (Human)	1807
7253	P16473	TSHR_HUMAN	reviewed	Thyrotropin receptor (Thyroid-stimulating hormone receptor) (TSH-R)	TSHR LGR3	Homo sapiens (Human)	764
7262	Q53GA4	PHLA2_HUMAN	reviewed	Pleckstrin homology-like domain family A member 2 (Beckwith-Wiedemann syndrome chromosomal region 1 candidate gene C protein) (Imprinted in placenta and liver protein) (Tumor-suppressing STF cDNA 3 protein) (Tumor-suppressing subchromosomal transferable fragment candidate gene 3 protein) (p17-Beckwith-Wiedemann region 1 C) (p17-BWR1C)	PHLDA2 BWR1C HLDA2 IPL TSSC3	Homo sapiens (Human)	152
7273	Q8WZ42	TITIN_HUMAN	reviewed	Titin (EC 2.7.11.1) (Connectin) (Rhabdomyosarcoma antigen MU-RMS-40.14)	TTN	Homo sapiens (Human)	34350
728130	Q8IVF1	NTM2A_HUMAN	reviewed	NUT family member 2A	NUTM2A FAM22A KIAA2020	Homo sapiens (Human)	878
728294	Q8N465	D2HDH_HUMAN	reviewed	D-2-hydroxyglutarate dehydrogenase, mitochondrial (EC 1.1.99.-)	D2HGDH D2HGD	Homo sapiens (Human)	521
7284	P49411	EFTU_HUMAN	reviewed	Elongation factor Tu, mitochondrial (EF-Tu) (P43)	TUFM	Homo sapiens (Human)	452
7290	P54198	HIRA_HUMAN	reviewed	Protein HIRA (TUP1-like enhancer of split protein 1)	HIRA DGCR1 HIR TUPLE1	Homo sapiens (Human)	1017
7291	Q15672	TWST1_HUMAN	reviewed	Twist-related protein 1 (Class A basic helix-loop-helix protein 38) (bHLHa38) (H-twist)	TWIST1 BHLHA38 TWIST	Homo sapiens (Human)	202
729262	A6NNL0	NTM2B_HUMAN	reviewed	NUT family member 2B	NUTM2B FAM22B	Homo sapiens (Human)	878
729920	A4D126	ISPD_HUMAN	reviewed	D-ribitol-5-phosphate cytidylyltransferase (EC 2.7.7.40) (2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase-like protein) (Isoprenoid synthase domain-containing protein) (hISPD)	CRPPA ISPD	Homo sapiens (Human)	451
7305	O43914	TYOBP_HUMAN	reviewed	TYRO protein tyrosine kinase-binding protein (DNAX-activation protein 12) (Killer-activating receptor-associated protein) (KAR-associated protein)	TYROBP DAP12 KARAP	Homo sapiens (Human)	113
7306	P17643	TYRP1_HUMAN	reviewed	5,6-dihydroxyindole-2-carboxylic acid oxidase (DHICA oxidase) (EC 1.14.18.-) (Catalase B) (Glycoprotein 75) (Melanoma antigen gp75) (Tyrosinase-related protein 1) (TRP) (TRP-1) (TRP1)	TYRP1 CAS2 TYRP TYRRP	Homo sapiens (Human)	537
7307	P0DN76	U2AF5_HUMAN	reviewed	Splicing factor U2AF 35 kDa subunit-like protein (U2 small nuclear RNA auxiliary factor 1-like protein 5)	U2AF1L5	Homo sapiens (Human)	240
7307	Q01081	U2AF1_HUMAN	reviewed	Splicing factor U2AF 35 kDa subunit (U2 auxiliary factor 35 kDa subunit) (U2 small nuclear RNA auxiliary factor 1) (U2 snRNP auxiliary factor small subunit)	U2AF1 U2AF35 U2AFBP FP793	Homo sapiens (Human)	240
7319	P49459	UBE2A_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 A (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme A) (RAD6 homolog A) (HR6A) (hHR6A) (Ubiquitin carrier protein A) (Ubiquitin-protein ligase A)	UBE2A RAD6A	Homo sapiens (Human)	152
7337	Q05086	UBE3A_HUMAN	reviewed	Ubiquitin-protein ligase E3A (EC 2.3.2.26) (E6AP ubiquitin-protein ligase) (HECT-type ubiquitin transferase E3A) (Human papillomavirus E6-associated protein) (Oncogenic protein-associated protein E6-AP) (Renal carcinoma antigen NY-REN-54)	UBE3A E6AP EPVE6AP HPVE6A	Homo sapiens (Human)	875
7355	P78381	S35A2_HUMAN	reviewed	UDP-galactose translocator (Solute carrier family 35 member A2) (UDP-galactose transporter) (UDP-Gal-Tr) (UGT)	SLC35A2 UGALT UGT UGTL	Homo sapiens (Human)	396
7390	P10746	HEM4_HUMAN	reviewed	Uroporphyrinogen-III synthase (UROIIIS) (UROS) (EC 4.2.1.75) (Hydroxymethylbilane hydrolyase [cyclizing]) (Uroporphyrinogen-III cosynthase)	UROS	Homo sapiens (Human)	265
7399	O75445	USH2A_HUMAN	reviewed	Usherin (Usher syndrome type IIa protein) (Usher syndrome type-2A protein)	USH2A	Homo sapiens (Human)	5202
7401	P58418	CLRN1_HUMAN	reviewed	Clarin-1 (Usher syndrome type-3 protein)	CLRN1 USH3A	Homo sapiens (Human)	232
